"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked.S","Embarked.C"
1,0,0.827,0.737,-0.53,0.433,-0.473,-0.502,0.619,-0.482
2,1,-1.565,-1.355,0.571,0.433,-0.473,0.786,-1.614,2.073
3,1,0.827,-1.355,-0.255,-0.474,-0.473,-0.489,0.619,-0.482
4,1,-1.565,-1.355,0.365,0.433,-0.473,0.42,0.619,-0.482
5,0,0.827,0.737,0.365,-0.474,-0.473,-0.486,0.619,-0.482
7,0,-1.565,0.737,1.673,-0.474,-0.473,0.396,0.619,-0.482
8,0,0.827,0.737,-1.907,2.246,0.767,-0.224,0.619,-0.482
9,1,0.827,-1.355,-0.186,-0.474,2.008,-0.424,0.619,-0.482
10,1,-0.369,-1.355,-1.081,0.433,-0.473,-0.043,-1.614,2.073
11,1,0.827,-1.355,-1.769,0.433,0.767,-0.312,0.619,-0.482
12,1,-1.565,-1.355,1.948,-0.474,-0.473,-0.114,0.619,-0.482
13,0,0.827,0.737,-0.668,-0.474,-0.473,-0.486,0.619,-0.482
14,0,0.827,0.737,0.64,0.433,5.73,-0.019,0.619,-0.482
15,0,0.827,-1.355,-1.081,-0.474,-0.473,-0.49,0.619,-0.482
16,1,-0.369,-1.355,1.742,-0.474,-0.473,-0.326,0.619,-0.482
17,0,0.827,0.737,-1.907,3.153,0.767,-0.062,-1.614,-0.482
19,0,0.827,-1.355,0.09,0.433,-0.473,-0.286,0.619,-0.482
21,0,-0.369,0.737,0.365,-0.474,-0.473,-0.125,0.619,-0.482
22,1,-0.369,0.737,0.296,-0.474,-0.473,-0.386,0.619,-0.482
23,1,0.827,-1.355,-1.012,-0.474,-0.473,-0.486,-1.614,-0.482
24,1,-1.565,0.737,-0.117,-0.474,-0.473,0.066,0.619,-0.482
25,0,0.827,-1.355,-1.494,2.246,0.767,-0.224,0.619,-0.482
26,1,0.827,-1.355,0.571,0.433,5.73,-0.016,0.619,-0.482
28,0,-1.565,0.737,-0.737,2.246,2.008,4.644,0.619,-0.482
31,0,-1.565,0.737,0.709,-0.474,-0.473,-0.09,-1.614,2.073
34,0,-0.369,0.737,2.499,-0.474,-0.473,-0.437,0.619,-0.482
35,0,-1.565,0.737,-0.117,0.433,-0.473,1.005,-1.614,2.073
36,0,-1.565,0.737,0.847,0.433,-0.473,0.398,0.619,-0.482
38,0,0.827,0.737,-0.599,-0.474,-0.473,-0.486,0.619,-0.482
39,0,0.827,-1.355,-0.805,1.339,-0.473,-0.286,0.619,-0.482
40,1,0.827,-1.355,-1.081,0.433,-0.473,-0.422,-1.614,2.073
41,0,0.827,-1.355,0.709,0.433,-0.473,-0.457,0.619,-0.482
42,0,-0.369,-1.355,-0.186,0.433,-0.473,-0.225,0.619,-0.482
44,1,-0.369,-1.355,-1.838,0.433,2.008,0.189,-1.614,2.073
45,1,0.827,-1.355,-0.737,-0.474,-0.473,-0.49,-1.614,-0.482
50,0,0.827,-1.355,-0.805,0.433,-0.473,-0.29,0.619,-0.482
51,0,0.827,0.737,-1.563,3.153,0.767,0.151,0.619,-0.482
52,0,0.827,0.737,-0.599,-0.474,-0.473,-0.491,0.619,-0.482
53,1,-1.565,-1.355,1.329,0.433,-0.473,0.896,-1.614,2.073
54,1,-0.369,-1.355,-0.048,0.433,-0.473,-0.125,0.619,-0.482
55,0,-1.565,0.737,2.43,-0.474,0.767,0.599,-1.614,2.073
57,1,-0.369,-1.355,-0.599,-0.474,-0.473,-0.437,0.619,-0.482
58,0,0.827,0.737,-0.083,-0.474,-0.473,-0.503,-1.614,2.073
